អត្តលេខមន្ត្រី,ល.រ,នាមត្រកូល(KH),នាមខ្លួន(KH),Last Name(EN),First Name(EN),ភេទ,ថ្ងៃ ខែ ឆ្នាំ កំណើត,ជនជាតិ,សញ្ជាតិ,ការិយាល័យ,តួនាទី,កម្រិតវប្បធម៌,ថ្ងៃ ខែ ឆ្នាំ ចូលបម្រើការងារ,Role,Username
339749960,1,ហេង,វិចិត្រ,Heng,Vichet,ប្រុស,21/09/1973,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាល,បណ្ឌិត,08/08/2004,manager,vichetheng
102721764,2,មាស,ម៉ាលី,Meas,Maly,ស្រី,15/10/1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រជាន់ខ្ពស់,06/10/2010,manager,malymeas
829488324,3,វ៉ាន់,វិចិត្រ,Van,Vichet,ប្រុស,27/01/1975,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បណ្ឌិត,28/12/2021,manager,vichetvan
900979098,4,ឯក,នីតា,Ek,Nita,ស្រី,26/06/1973,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រជាន់ខ្ពស់,18/11/2016,manager,nitaek
431784839,5,ជា,សុខា,Chea,Sokha,ប្រុស,05/08/1972,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រជាន់ខ្ពស់,25/11/2025,manager,sokhachea
635212070,6,ណុប,សុខា,Nop,Sokha,ប្រុស,13/02/1974,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រជាន់ខ្ពស់,14/11/2024,manager,sokhanop
705590520,7,ហួត,មុនី,Huot,Mony,ប្រុស,09/09/1974,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រជាន់ខ្ពស់,02/11/2018,manager,monyhuot
819925699,8,រិទ្ធ,ស្រីពេជ្រ,Rith,Srey Pich,ស្រី,23/01/1989,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,មន្ត្រីកិច្ចសន្យា,បរិញ្ញាប័ត្រ,18/10/2018,manager,sreypichrith
772882330,9,គឹម,រតនា,Kim,Ratana,ប្រុស,08/08/1970,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,នាយករដ្ឋបាល,បរិញ្ញាប័ត្រជាន់ខ្ពស់,22/06/2005,admin,ratanakim
819142805,10,អ៊ុំ,ដាលីន,Um,Dalin,ស្រី,18/05/1989,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,នាយករងរដ្ឋបាល,បរិញ្ញាប័ត្រ,23/05/2016,officer,dalinum
109960991,11,មាស,ដាលីន,Meas,Dalin,ស្រី,10/04/1985,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,នាយករងរដ្ឋបាល,បរិញ្ញាប័ត្រ,04/05/2015,officer,dalinmeas
