លរ,អត្តលេខមន្ត្រី,នាមត្រកូល (KH),នាមខ្លួន (KH),Last Name (EN),First Name (EN),ភេទ,ថ្ងៃ.ខែ. ឆ្នាំកំណើត,សញ្ជាតិ,សញ្ជាតិ2,ការិយាល័យ,តួនាទី,កម្រិតវប្បធម៌,ថ្ងៃ.ខែ.ឆ្នាំ ចូលបម្រើការងារ,Column1,Username
1,00001,ចេង ,មុនីរ៉ា,Cheng,Monira,ប្រុស,01 January 1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាល,បរិញ្ញាប័ត្រ,07 July 2010,manager,moniracheng
2,00002,តិមា ,សោភា,Tima,Sophea,ប្រុស,02 January 1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រ,08 July 2010,manager,sopheatima
3,00003,ឆាយ ,វាសនា,Chhay,Veasna,ប្រុស,03 January 1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រ,09 July 2010,manager,veasnachhay
4,00004,ប្រាជ្ញ,សីហា,Prach,Seiha,ប្រុស,04 January 1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រ,10 July 2010,manager,seihaprach
5,00005,ញាណ ,ចន្ថាវេរ៉ា,Nhean,Chanthaveara,ប្រុស,05 January 1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រ,11 July 2010,manager,chanthavearanhean
6,00006,ឃុត,សុខខា,Khut,Sokkha,ប្រុស,06 January 1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រ,12 July 2010,manager,sokkhakhut
7,00007,សួស,សូលីដា,Suos,Solida,ស្រី,07 January 1980,ខ្មែរ,ខ្មែរ,គណៈអភិបាល,អភិបាលរង,បរិញ្ញាប័ត្រ,13 July 2010,manager,solidasuos
8,00008,ងួន,ច័ន្ទឡុង,Nguon,Chanlong,ប្រុស,08 January 1980,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,នាយករដ្ឋបាល,បរិញ្ញាប័ត្រ,14 July 2010,super admin,chanlongnguon
9,00009,តាំង,ស៊ីដេត,Tang,Sidet,ប្រុស,09 January 1980,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,នាយករងរដ្ឋបាល,បរិញ្ញាប័ត្រ,15 July 2010,officer,sidettang
10,00010,ឃាង,វណ្ណៈ,Kheang,Vanna,ប្រុស,10 January 1980,ខ្មែរ,ខ្មែរ,គណៈនាយករដ្ឋបាល,នាយករងរដ្ឋបាល,បរិញ្ញាប័ត្រ,16 July 2010,officer,vannakheang
